授業コード,曜日,時限,学部,授業名,学期,担当教員,配当年次,単位数,詳細URL,みんキャン検索LINK
SL37,水,1,商学部,ドイツ語（ａ）Ⅲ,春学期,ヤンボール、アダム,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8891&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%AB%E3%80%81%E3%82%A2%E3%83%80%E3%83%A0
FL38,火,4,商学部,ドイツ語（ａ）Ⅱ,秋学期,ヘンゼル　シュテファン,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8890&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%98%E3%83%B3%E3%82%BC%E3%83%AB
FL39,火,4,商学部,ドイツ語（ａ）Ⅱ,秋学期,高次　裕,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8889&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%AB%98%E6%AC%A1
FL3A,金,4,商学部,ドイツ語（ａ）Ⅱ,秋学期,大浜　陽子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8888&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%A4%A7%E6%B5%9C
FL3B,水,4,商学部,ドイツ語（ａ）Ⅱ,秋学期,米本　晶,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8887&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%B1%B3%E6%9C%AC
FL3C,水,4,商学部,ドイツ語（ａ）Ⅱ,秋学期,織田　晶子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8886&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%B9%94%E7%94%B0
SL38,火,4,商学部,ドイツ語（ａ）Ⅰ,春学期,ヘンゼル　シュテファン,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8885&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%98%E3%83%B3%E3%82%BC%E3%83%AB
SL39,火,4,商学部,ドイツ語（ａ）Ⅰ,春学期,高次　裕,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8884&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%AB%98%E6%AC%A1
SL3A,金,4,商学部,ドイツ語（ａ）Ⅰ,春学期,大浜　陽子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8883&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%A4%A7%E6%B5%9C
SL3B,水,4,商学部,ドイツ語（ａ）Ⅰ,春学期,米本　晶,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8882&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%B1%B3%E6%9C%AC
SL3C,水,4,商学部,ドイツ語（ａ）Ⅰ,春学期,織田　晶子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8881&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%B9%94%E7%94%B0
FL3D,水,2,商学部,フランス語（ｃ）Ⅳ,秋学期,ラサモエラ、ボリアナ,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8880&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
SL3D,水,2,商学部,フランス語（ｃ）Ⅲ,春学期,ラサモエラ、ボリアナ,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8879&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
FL3E,金,4,商学部,フランス語（ｃ）Ⅱ,秋学期,ラサモエラ、ボリアナ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8878&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
SL3E,金,4,商学部,フランス語（ｃ）Ⅰ,春学期,ラサモエラ、ボリアナ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8877&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
FL3F,金,2,商学部,フランス語（ｂ）Ⅳ,秋学期,森　繁,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8876&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
SL3F,金,2,商学部,フランス語（ｂ）Ⅲ,春学期,森　繁,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8875&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
FL3G,水,3,商学部,フランス語（ｂ）Ⅱ,秋学期,ラサモエラ、ボリアナ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8874&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
FL3H,火,4,商学部,フランス語（ｂ）Ⅱ,秋学期,小林　佐江子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8873&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL3I,金,4,商学部,フランス語（ｂ）Ⅱ,秋学期,西　陽子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8872&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%A5%BF
FL3J,月,3,商学部,フランス語（ｂ）Ⅱ,秋学期,岡部　杏子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8871&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
FL3K,月,4,商学部,フランス語（ｂ）Ⅱ,秋学期,岡部　杏子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8870&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
SL3G,水,3,商学部,フランス語（ｂ）Ⅰ,春学期,ラサモエラ、ボリアナ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8869&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E3%83%A9%E3%82%B5%E3%83%A2%E3%82%A8%E3%83%A9%E3%80%81%E3%83%9C%E3%83%AA%E3%82%A2%E3%83%8A
SL3H,火,4,商学部,フランス語（ｂ）Ⅰ,春学期,小林　佐江子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8868&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL3I,金,4,商学部,フランス語（ｂ）Ⅰ,春学期,西　陽子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8867&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%A5%BF
SL3J,月,3,商学部,フランス語（ｂ）Ⅰ,春学期,岡部　杏子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8866&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
SL3K,月,4,商学部,フランス語（ｂ）Ⅰ,春学期,岡部　杏子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8865&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
FL3L,金,2,商学部,フランス語（ａ）Ⅳ,秋学期,小林　佐江子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8864&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL3M,火,2,商学部,フランス語（ａ）Ⅳ,秋学期,木下　雄介,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8863&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E4%B8%8B
FL3N,水,2,商学部,フランス語（ａ）Ⅳ,秋学期,森　繁,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8862&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
FL3O,火,2,商学部,フランス語（ａ）Ⅳ,秋学期,小林　佐江子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8861&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL3P,月,2,商学部,フランス語（ａ）Ⅳ,秋学期,岡部　杏子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8860&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
SL3L,金,2,商学部,フランス語（ａ）Ⅲ,春学期,小林　佐江子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8859&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL3M,火,2,商学部,フランス語（ａ）Ⅲ,春学期,木下　雄介,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8858&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E4%B8%8B
SL3N,水,2,商学部,フランス語（ａ）Ⅲ,春学期,森　繁,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8857&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
SL3O,火,2,商学部,フランス語（ａ）Ⅲ,春学期,小林　佐江子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8856&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL3P,月,2,商学部,フランス語（ａ）Ⅲ,春学期,岡部　杏子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8855&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B2%A1%E9%83%A8
FL3Q,金,4,商学部,フランス語（ａ）Ⅱ,秋学期,小林　佐江子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8854&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL3R,水,3,商学部,フランス語（ａ）Ⅱ,秋学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8853&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
FL3S,火,4,商学部,フランス語（ａ）Ⅱ,秋学期,木下　雄介,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8852&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E4%B8%8B
FL3T,金,4,商学部,フランス語（ａ）Ⅱ,秋学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8851&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
FL3U,水,4,商学部,フランス語（ａ）Ⅱ,秋学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8850&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
SL3Q,金,4,商学部,フランス語（ａ）Ⅰ,春学期,小林　佐江子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8849&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL3R,水,3,商学部,フランス語（ａ）Ⅰ,春学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8848&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
SL3S,火,4,商学部,フランス語（ａ）Ⅰ,春学期,木下　雄介,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8847&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E4%B8%8B
SL3T,金,4,商学部,フランス語（ａ）Ⅰ,春学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8846&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
SL3U,水,4,商学部,フランス語（ａ）Ⅰ,春学期,森　繁,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8845&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE
FL3V,火,2,商学部,中国語（ｃ）Ⅳ,秋学期,山本　明,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8844&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E6%9C%AC
FL3W,月,2,商学部,中国語（ｃ）Ⅳ,秋学期,河野　哲宏,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8843&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B2%B3%E9%87%8E
SL3V,火,2,商学部,中国語（ｃ）Ⅲ,春学期,山本　明,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8842&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E6%9C%AC
SL3W,月,2,商学部,中国語（ｃ）Ⅲ,春学期,河野　哲宏,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8841&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B2%B3%E9%87%8E
FL3X,火,3,商学部,中国語（ｃ）Ⅱ,秋学期,山本　明,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8840&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E6%9C%AC
FL3Y,金,4,商学部,中国語（ｃ）Ⅱ,秋学期,河野　哲宏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8839&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B2%B3%E9%87%8E
FL3Z,金,3,商学部,中国語（ｃ）Ⅱ,秋学期,池澤　滋子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8838&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B1%A0%E6%BE%A4
SL3X,火,3,商学部,中国語（ｃ）Ⅰ,春学期,山本　明,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8837&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E6%9C%AC
SL3Y,金,4,商学部,中国語（ｃ）Ⅰ,春学期,河野　哲宏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8836&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B2%B3%E9%87%8E
SL3Z,金,3,商学部,中国語（ｃ）Ⅰ,春学期,池澤　滋子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8835&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B1%A0%E6%BE%A4
FL40,金,2,商学部,中国語（ｂ）Ⅳ,秋学期,遠藤　絢,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8834&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
FL41,火,2,商学部,中国語（ｂ）Ⅳ,秋学期,鈴木　ひろみ,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8833&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
SL40,金,2,商学部,中国語（ｂ）Ⅲ,春学期,遠藤　絢,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8832&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
SL41,火,2,商学部,中国語（ｂ）Ⅲ,春学期,鈴木　ひろみ,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8831&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
FL42,金,4,商学部,中国語（ｂ）Ⅱ,秋学期,鈴木　ひろみ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8830&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
FL43,水,3,商学部,中国語（ｂ）Ⅱ,秋学期,小薗　瑞恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8829&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E8%96%97
FL44,水,4,商学部,中国語（ｂ）Ⅱ,秋学期,小薗　瑞恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8828&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E8%96%97
FL45,火,4,商学部,中国語（ｂ）Ⅱ,秋学期,鈴木　ひろみ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8827&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
FL46,木,4,商学部,中国語（ｂ）Ⅱ,秋学期,小林　光考,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8826&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL47,金,3,商学部,中国語（ｂ）Ⅱ,秋学期,尹　青青,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8825&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%B9
FL48,金,3,商学部,中国語（ｂ）Ⅱ,秋学期,遠藤　絢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8824&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
FL49,金,3,商学部,中国語（ｂ）Ⅱ,秋学期,本間　由香利,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8823&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%AC%E9%96%93
FL4A,木,3,商学部,中国語（ｂ）Ⅱ,秋学期,山下　紘嗣,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8822&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E4%B8%8B
FL4B,金,4,商学部,中国語（ｂ）Ⅱ,秋学期,尹　青青,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8821&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%B9
FL4C,木,3,商学部,中国語（ｂ）Ⅱ,秋学期,阿部　順子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8820&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%98%BF%E9%83%A8
FL4D,木,3,商学部,中国語（ｂ）Ⅱ,秋学期,遠藤　佳代子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8819&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
FL4E,木,4,商学部,中国語（ｂ）Ⅱ,秋学期,阿部　順子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8818&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%98%BF%E9%83%A8
FL4F,金,3,商学部,中国語（ｂ）Ⅱ,秋学期,苗　鳳科,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8817&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%8B%97
FL4G,木,4,商学部,中国語（ｂ）Ⅱ,秋学期,山下　紘嗣,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8816&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E4%B8%8B
FL4H,金,4,商学部,中国語（ｂ）Ⅱ,秋学期,池澤　滋子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8815&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B1%A0%E6%BE%A4
FL4I,金,4,商学部,中国語（ｂ）Ⅱ,秋学期,小林　光考,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8814&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
FL4J,金,4,商学部,中国語（ｂ）Ⅱ,秋学期,本間　由香利,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8813&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%AC%E9%96%93
SL42,金,4,商学部,中国語（ｂ）Ⅰ,春学期,鈴木　ひろみ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8812&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
SL43,水,3,商学部,中国語（ｂ）Ⅰ,春学期,小薗　瑞恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8811&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E8%96%97
SL44,水,4,商学部,中国語（ｂ）Ⅰ,春学期,小薗　瑞恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8810&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E8%96%97
SL45,火,4,商学部,中国語（ｂ）Ⅰ,春学期,鈴木　ひろみ,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8809&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
SL46,木,4,商学部,中国語（ｂ）Ⅰ,春学期,小林　光考,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8808&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL47,金,3,商学部,中国語（ｂ）Ⅰ,春学期,尹　青青,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8807&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%B9
SL48,金,3,商学部,中国語（ｂ）Ⅰ,春学期,遠藤　絢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8806&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
SL49,金,3,商学部,中国語（ｂ）Ⅰ,春学期,本間　由香利,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8805&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%AC%E9%96%93
SL4A,木,3,商学部,中国語（ｂ）Ⅰ,春学期,山下　紘嗣,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8804&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E4%B8%8B
SL4B,金,4,商学部,中国語（ｂ）Ⅰ,春学期,尹　青青,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8803&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%B9
SL4C,木,3,商学部,中国語（ｂ）Ⅰ,春学期,阿部　順子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8802&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%98%BF%E9%83%A8
SL4D,木,3,商学部,中国語（ｂ）Ⅰ,春学期,遠藤　佳代子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8801&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%81%A0%E8%97%A4
SL4E,木,4,商学部,中国語（ｂ）Ⅰ,春学期,阿部　順子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8800&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%98%BF%E9%83%A8
SL4F,金,3,商学部,中国語（ｂ）Ⅰ,春学期,苗　鳳科,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8799&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%8B%97
SL4G,木,4,商学部,中国語（ｂ）Ⅰ,春学期,山下　紘嗣,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8798&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E4%B8%8B
SL4H,金,4,商学部,中国語（ｂ）Ⅰ,春学期,池澤　滋子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8797&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B1%A0%E6%BE%A4
SL4I,金,4,商学部,中国語（ｂ）Ⅰ,春学期,小林　光考,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8796&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E6%9E%97
SL4J,金,4,商学部,中国語（ｂ）Ⅰ,春学期,本間　由香利,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8795&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%AC%E9%96%93
FL4K,水,2,商学部,中国語（ａ）Ⅳ,秋学期,鈴木　ひろみ,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8794&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%88%B4%E6%9C%A8
FL4L,水,2,商学部,中国語（ａ）Ⅳ,秋学期,河野　哲宏,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8793&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B2%B3%E9%87%8E
FL4M,木,2,商学部,中国語（ａ）Ⅳ,秋学期,池澤　滋子,2年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=8792&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B1%A0%E6%BE%A4
